tname,view,like,coin,favorite,share,reply,danmaku,interaction,duration_min
娱乐资讯,7236592.0,144075.0,9466.5,28544.0,9831.5,1690.5,2267.0,195874.5,6.5
音游,6516147.5,361437.0,30862.5,76564.5,19257.0,4028.5,18000.5,510150.0,2.9
摩托车,6512289.5,235834.5,9014.5,41786.5,4968.0,5032.0,1783.5,298419.0,1.9
桌游棋牌,6298772.0,267015.4,131841.5,57273.8,16368.3,5242.2,13987.7,491729.0,11.0
国产动画,5983866.7,139733.7,82887.0,74127.0,28566.3,3963.7,4745.3,334023.0,5.8
野生动物,5940657.7,387183.2,59138.6,59763.7,19315.7,4048.7,11447.3,540897.2,5.6
房车,5933688.5,146209.0,66788.5,59289.0,1534.5,4721.0,15123.5,293665.5,6.0
汽车知识科普,5784600.7,241297.3,66393.3,59629.3,14027.3,4765.3,11533.3,397646.0,14.9
小剧场,5289439.2,336522.4,34254.8,39810.3,9737.1,3082.1,4354.2,427761.0,4.1
社会·美食·旅行,5282163.0,58845.0,11025.0,23987.0,9397.0,1274.0,9093.0,113621.0,67.8
美食制作,5106722.2,311151.8,108213.4,54088.0,10300.2,3156.7,9611.7,496521.8,6.7
极客DIY,5100669.5,293254.6,107699.3,60381.4,13696.2,4349.5,9654.1,489035.0,8.2
搞笑,5060237.2,328969.7,62722.4,43031.3,13406.7,3944.5,7798.3,459872.9,7.1
动物二创,5034222.2,296012.8,50658.9,60036.9,15508.4,2346.3,4369.3,428932.6,6.0
人文历史,4668585.7,226574.8,92867.3,50274.0,9506.2,5118.1,15345.3,399685.8,30.5
科工机械,4640426.2,201693.0,43300.2,37049.8,10718.2,4622.5,5431.0,302814.7,8.6
野生技能协会,4639666.2,314546.2,105024.4,83345.6,12271.3,3405.4,8001.9,526594.8,6.9
娱乐粉丝创作,4551365.1,227545.7,83010.1,65064.9,14942.0,4261.6,9774.1,404598.4,10.3
综艺,4477913.0,174508.8,59324.3,26780.4,11017.6,3836.5,15380.1,290847.7,25.7
美食测评,4476692.1,230719.8,71833.8,26614.3,7853.8,4012.2,14008.1,355042.0,7.4
配音,4387870.1,330664.2,131125.3,63248.1,18009.2,3206.6,8048.7,554302.2,6.6
影视整活,4364683.2,244378.9,51399.6,56366.2,15919.1,2662.6,5937.2,376663.6,10.6
动物综合,4357562.0,253020.7,33689.7,43851.7,13516.7,4959.3,8547.7,357585.7,7.4
美食侦探,4323960.7,263827.3,93123.0,35863.0,13436.4,4608.4,13685.1,424543.2,11.1
明星舞蹈,4267950.0,277208.4,53940.0,59272.1,13703.2,3500.3,3643.0,411267.0,2.6
娱乐杂谈,4209336.6,154154.1,30823.8,25349.3,13907.9,4674.6,11730.6,240640.3,12.3
单机游戏,4127948.5,238022.7,92677.7,58336.6,9961.2,3889.9,12082.5,414970.5,18.8
鬼畜调教,4123483.5,289408.3,84593.6,70690.4,22809.8,3576.8,6706.8,477785.8,2.4
短片,4117784.6,333570.3,94647.7,68163.8,14406.0,3914.9,5592.5,520295.1,6.8
科学科普,4111045.8,244167.7,60987.7,50506.4,13667.4,4606.1,9373.6,383308.9,11.9
喵星人,4056255.7,296756.6,85109.0,41407.2,14455.5,2822.7,6173.3,446724.2,4.5
音MAD,4016094.0,220825.0,42068.0,48134.0,11609.5,2439.0,4578.0,329653.5,1.9
GMV,3985891.4,187962.3,82657.8,80818.1,11747.4,4423.7,6410.7,374020.0,3.4
影视剪辑,3976830.7,240865.0,80829.0,70389.8,15086.0,4021.1,5805.0,416995.9,8.1
汪星人,3958455.9,303570.0,52995.6,34013.9,15834.5,3972.0,7468.0,417854.0,3.1
音乐粉丝饭拍,3942782.5,202900.0,5678.0,13196.5,4396.0,3095.5,622.0,229888.0,0.7
美食记录,3929418.4,258081.3,86340.5,30483.9,8687.7,4001.3,10594.5,398189.3,14.4
舞蹈综合,3928401.8,302056.6,60461.6,50572.0,15634.1,4081.1,6433.8,439239.2,2.3
手工,3909995.2,283739.8,81893.7,46463.4,11446.8,3431.4,6036.4,433011.3,6.7
同人·手书,3901289.8,287177.6,94843.3,78561.6,16107.9,3515.5,5779.0,485984.9,4.7
运动综合,3887001.7,264831.6,71460.0,43341.4,9619.1,3058.1,4936.3,397246.6,4.9
翻唱,3854238.3,261394.1,105183.1,69494.9,16921.9,4600.3,6793.2,464387.5,3.8
绘画,3813809.6,372594.3,67049.0,54973.4,9545.8,2699.8,4136.9,510999.2,6.8
MV,3811461.5,174033.1,67575.2,54029.8,19140.5,5815.2,8789.2,329383.2,3.9
亲子,3805290.9,229069.5,37101.5,44088.3,12510.5,3475.6,3577.8,329823.2,4.2
竞技体育,3796469.6,313841.1,69736.6,49708.4,13205.3,4484.7,6953.1,457929.2,6.9
国产原创相关,3763456.9,219612.7,72442.1,62798.3,12853.4,4977.7,9372.3,382056.5,17.1
街舞,3762672.8,224735.8,21315.2,32083.5,10602.0,2076.0,1616.5,292429.0,2.2
日常,3731527.5,240028.0,72481.3,41281.2,11177.2,4413.6,9292.3,378673.5,12.0
鬼畜剧场,3718988.9,244363.6,47528.7,54965.3,22004.1,3088.4,5387.5,377337.6,4.4
音乐现场,3714928.9,192751.4,62311.8,43083.7,17154.3,4797.0,8789.8,328888.1,29.6
网络游戏,3683660.3,195516.2,72823.7,45638.9,14195.3,4299.7,8295.3,340769.1,9.3
