up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
99157282,盗月社食遇记,88,351064185,23426254,12599954,42202595,3944541.0,0.0687,60
23947287,小约翰可汗,85,604914375,25383913,11476734,44902774,7116640.0,0.0435,71
546195,老番茄,84,516164549,31971452,10072153,50359870,6144816.0,0.063,69
63231,泛式,77,293549170,20711492,10217930,38706969,3812327.0,0.0717,58
14110780,凉风Kaze,75,242741283,21624139,6064469,31534969,3236550.0,0.0907,47
946974,影视飓风,72,348644944,18891795,7447735,32981850,4842291.0,0.0596,46
18202105,绵羊料理,63,419667221,25509056,11896059,42540506,6661384.0,0.0607,53
10119428,小片片说大片,53,187513924,8518585,2979364,14128244,3537999.0,0.0454,14
927587,木鱼水心,51,180577277,11088939,5935873,21222601,3540731.0,0.0625,28
517327498,罗翔说刑法,49,158233372,12109757,3308063,18812685,3229252.0,0.0775,21
7349,STN工作室,49,88002729,5820817,4147541,12065415,1795974.0,0.0669,11
1532165,papi酱,45,172000026,14109274,1829633,18023651,3822223.0,0.0834,20
627888730,星有野,44,305642107,19456728,4954222,28878957,6946412.0,0.0661,34
280793434,手工耿,43,200398948,11308209,3076136,16951774,4660441.0,0.0573,25
401742377,原神,41,125433085,8954424,2514280,14814753,3059344.0,0.0769,32
456664753,央视新闻,39,104034056,7200621,2423785,11789737,2667540.0,0.0673,16
37663924,硬核的半佛仙人,38,102633969,5727400,2323150,10366214,2700894.0,0.0571,9
1577804,某幻君,37,161392920,9958650,4262799,18167747,4361971.0,0.0635,23
279991456,靠谱电竞,37,92642489,6643005,4278209,12676842,2503851.0,0.0721,21
730732,瓶子君152,36,125863575,6732515,2761110,11867938,3496210.0,0.0561,14
520819684,小Lin说,35,149583541,5234277,2081787,10127327,4273815.0,0.0356,7
95515699,粤知一二,34,234118932,14174475,298780,16505254,6885851.0,0.0628,24
703186600,麻薯波比呀,34,86482208,4314160,818358,6202177,2543594.0,0.0502,2
3066511,特效小哥studio,33,111165534,7489578,2272414,12435227,3269575.0,0.0692,10
383578614,超Carry的柴西,33,97582802,4954993,2260360,8857978,2957055.0,0.0485,8
25876945,极客湾Geekerwan,33,78849643,3769293,1881869,7590002,2389383.0,0.0472,1
67141499,大漠叔叔,32,121556727,9097421,3246968,14097481,3798648.0,0.0812,17
25150941,极速拍档,32,83446936,3709606,2122817,7344064,2607717.0,0.0453,4
5294454,逗比的雀巢,31,313452596,17795367,5142071,26712064,10111374.0,0.0578,28
3493260618106936,伤心欲茄222,30,203610251,15186389,411763,17209133,6787008.0,0.0763,19
1140672573,小王Albert,30,110256984,5025412,2182041,9052533,3675233.0,0.046,8
7487399,努力的Lorre,30,85909743,4895162,1943031,8606879,2863658.0,0.0584,13
373388923,脱缰凯Kk,28,179717207,9721235,784559,12233281,6418472.0,0.0595,23
8047632,哔哩哔哩弹幕网,28,104678145,2523152,792343,4725367,3738505.0,0.03,3
161775300,明日方舟,28,69089536,4450924,1857047,8886591,2467483.0,0.0693,8
261485584,HOPICO,28,46222901,2244941,1489910,5092800,1650818.0,0.0548,1
1958342,水无月菌,27,171387374,7269898,4861920,14717783,6347681.0,0.0446,19
176037767,我是郭杰瑞,27,80612465,5676469,1682421,8539819,2985647.0,0.0686,16
125526,-LKs-,27,77006931,4202186,2035799,8859364,2852109.0,0.0609,8
1420982,黑猫厨房,26,123401595,7479579,3036408,11984409,4746215.0,0.0651,11
437316738,朱一旦的枯燥生活,26,113415753,5278625,1719953,7970978,4362144.0,0.0481,10
8366990,-欣小萌-,26,95688191,4409825,1051025,7055049,3680315.0,0.0463,7
